subject,body,sender,label
Your order has been shipped,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",hr@ourcompany.com,0
Congratulations! You've won a $1000 gift card,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://account-security.90de3d5s.ru/update Non-compliance will result in account restriction.",helpdesk@g00gle-alert.org,1
Weekly standup notes - Sprint 14,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",david.smith@ourcompany.com,0
Happy Birthday from the team!,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",mike.chen@ourcompany.com,0
Reminder: Submit your timesheet by Friday,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",noreply@github.com,0
Invoice #INV-39481 attached - payment overdue,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://bit.ly/ietlu3mh This is your last chance. ACT NOW! Alternative link: http://tinyurl.com/z7f5kcmh,support@amaz0n-billing.ru,1
Your package delivery is pending - confirm address,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://portal.office365-security.4ccooji6.co/reset If you did not request this change, contact support immediately. Alternative link: http://www.amaz0n-support.com/verify/09ecmcno",admin@chase-secure.info,1
Reminder: Submit your timesheet by Friday,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",noreply@github.com,0
Monthly newsletter - Company updates,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",team@slack.com,0
Job posting: Senior Software Engineer,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",david.smith@ourcompany.com,0
Your monthly statement is ready,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",orders@amazon.com,0
Security Alert: Unusual sign-in activity detected,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://docs.google.com.ziho2kgn.info/document If you do not update within 12 hours, your account will be suspended. ACT NOW!",security@0ffice365.co,1
Weekly standup notes - Sprint 14,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",noreply@github.com,0
Your monthly statement is ready,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,david.smith@ourcompany.com,0
Team lunch this Friday - RSVP,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",mike.chen@ourcompany.com,0
Conference registration confirmation,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",mike.chen@ourcompany.com,0
Important: Confirm your account details,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.34.248. Secure your account NOW: http://portal.office365-security.50kj6i53.co/reset Ignoring this message may lead to data breach. Time is running out!,admin@paypa1-support.xyz,1
Q3 Project Update - Progress Report,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,orders@amazon.com,0
Invoice #INV-39481 attached - payment overdue,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://bit.ly/qlhbiawp Offer expires in 48 hours! Alternative link: http://appleid.apple.com-verify.e42x6g26.cn/auth",service@apple-id-verify.cn,1
Weekly standup notes - Sprint 14,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",no-reply@google.com,0
Your order has been shipped,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",sarah.johnson@ourcompany.com,0
Reset your password immediately,"You have received a secure document from DocuSign. To view and sign the document, click here: http://docs.google.com.dt3ki24s.info/document This document requires your immediate attention and signature. ACT NOW!",support@amaz0n-billing.ru,1
Your payment failed - update billing info now,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://www.amaz0n-support.com/verify/67h488s2 Act now - this offer won't last! Alternative link: http://secure-login.account-verify.21.xyz/auth,admin@paypa1-support.xyz,1
New blog post: Best practices for code reviews,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",newsletter@ourcompany.com,0
New blog post: Best practices for code reviews,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",newsletter@ourcompany.com,0
Your package delivery is pending - confirm address,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://login.microsoftonline.26fo1szj.tk/oauth Non-compliance will result in account restriction. This is your FINAL warning!",helpdesk@g00gle-alert.org,1
Exclusive offer: Act now before it expires!,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://10.0.47.47/phish/login.php If you did not request this change, contact support immediately. This is your FINAL warning! Alternative link: http://www.bankofamerica-secure.gl4c86hf.org/verify",support@amaz0n-billing.ru,1
Important: Confirm your account details,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://account-security.bugvjics.ru/update Failure to act will result in account deletion. Time is running out!,noreply@microsoft-security.tk,1
Job posting: Senior Software Engineer,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",newsletter@ourcompany.com,0
Important: Confirm your account details,"You have received a secure document from DocuSign. To view and sign the document, click here: http://192.168.1.237/verify-account This document requires your immediate attention and signature. Don't delay!",alert@bank0famerica.net,1
Conference registration confirmation,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",team@slack.com,0
Your package delivery is pending - confirm address,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.75.9. Secure your account NOW: http://login.microsoftonline.5025kfbo.tk/oauth Ignoring this message may lead to data breach. Alternative link: http://docs.google.com.596hhr8x.info/document,security@0ffice365.co,1
Weekly standup notes - Sprint 14,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",support@figma.com,0
Feedback requested on design mockups,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",no-reply@google.com,0
Job posting: Senior Software Engineer,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",sarah.johnson@ourcompany.com,0
Exclusive offer: Act now before it expires!,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://bit.ly/cut6hr4n If you do not update within 12 hours, your account will be suspended. Alternative link: http://www.bankofamerica-secure.odl5ztkb.org/verify",alert@bank0famerica.net,1
Happy Birthday from the team!,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",sarah.johnson@ourcompany.com,0
Your account will be suspended in 24 hours,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://www.bankofamerica-secure.nsm0l0jb.org/verify Thank you for your cooperation.",helpdesk@g00gle-alert.org,1
Your payment failed - update billing info now,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://www.amaz0n-support.com/verify/pxgx8wdz Your security is our top priority.",noreply@netfl1x-update.top,1
Your order has been shipped,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,no-reply@google.com,0
Feedback requested on design mockups,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,support@figma.com,0
Invitation: Annual company retreat,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",support@figma.com,0
Team lunch this Friday - RSVP,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",orders@amazon.com,0
Team lunch this Friday - RSVP,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",sarah.johnson@ourcompany.com,0
Your package delivery is pending - confirm address,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://www.paypa1.com/signin/bovvpn8d If you did not request this change, contact support immediately. Time is running out!",support@amaz0n-billing.ru,1
Weekly standup notes - Sprint 14,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",mike.chen@ourcompany.com,0
WARNING: Unauthorized access attempt on your account,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://192.168.1.145/verify-account Thank you for your cooperation. Alternative link: http://secure.chase-verify.b3v78480.net/login",noreply@microsoft-security.tk,1
URGENT: Your account has been compromised,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure.chase-verify.pkzua44w.net/login Offer expires in 48 hours! Time is running out! Alternative link: http://appleid.apple.com-verify.hr6vvlqv.cn/auth",noreply@netfl1x-update.top,1
WARNING: Unauthorized access attempt on your account,"Hi, I'm reaching out regarding an outstanding invoice #INV-88606. Payment of $892.50 is overdue. Please review and process payment immediately: http://bit.ly/lorgapt1 Late fees will apply after 48 hours.",admin@chase-secure.info,1
Reset your password immediately,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://secure-login.account-verify.157.xyz/auth This is your last chance.,support@amaz0n-billing.ru,1
Congratulations! You've won a $1000 gift card,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://netflix-billing.1zpkyyoq.top/update-payment Thank you for your cooperation. This is your FINAL warning! Alternative link: http://secure.chase-verify.s8r0meli.net/login",security@0ffice365.co,1
Final Notice: Your account will be closed,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://account-security.4wzze7ss.ru/update Thank you for your cooperation.",security@0ffice365.co,1
New blog post: Best practices for code reviews,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",team@slack.com,0
Your monthly statement is ready,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",newsletter@ourcompany.com,0
Final Notice: Your account will be closed,"Hi, I'm reaching out regarding an outstanding invoice #INV-87635. Payment of $892.50 is overdue. Please review and process payment immediately: http://tinyurl.com/hemluokz Late fees will apply after 48 hours. Alternative link: http://tinyurl.com/qwp7aqsk",helpdesk@g00gle-alert.org,1
Exclusive offer: Act now before it expires!,"Hi, I'm reaching out regarding an outstanding invoice #INV-34116. Payment of $892.50 is overdue. Please review and process payment immediately: http://login.microsoftonline.9ftnwn06.tk/oauth Late fees will apply after 48 hours. Don't delay!",helpdesk@g00gle-alert.org,1
Conference registration confirmation,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-258803. View event schedule at https://www.techconf.com/schedule",sarah.johnson@ourcompany.com,0
Re: Question about the API documentation,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",hr@ourcompany.com,0
Your package delivery is pending - confirm address,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://appleid.apple.com-verify.bxtlnv5m.cn/auth Thank you for your cooperation. ACT NOW!",service@apple-id-verify.cn,1
Q3 Project Update - Progress Report,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",no-reply@google.com,0
Your account will be suspended in 24 hours,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://portal.office365-security.4w2o6ov3.co/reset If you do not update within 12 hours, your account will be suspended. IMMEDIATE ACTION REQUIRED! Alternative link: http://10.0.249.249/phish/login.php",admin@chase-secure.info,1
Exclusive offer: Act now before it expires!,"You have received a secure document from DocuSign. To view and sign the document, click here: http://account-security.o9eysn7n.ru/update This document requires your immediate attention and signature. ACT NOW!",helpdesk@g00gle-alert.org,1
Weekly standup notes - Sprint 14,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",newsletter@ourcompany.com,0
Meeting scheduled for Thursday at 2 PM,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",no-reply@google.com,0
Weekly standup notes - Sprint 14,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",hr@ourcompany.com,0
New blog post: Best practices for code reviews,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",mike.chen@ourcompany.com,0
Final Notice: Your account will be closed,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://www.paypa1.com/signin/na7l0ep5 If you did not request this change, contact support immediately. ACT NOW!",service@apple-id-verify.cn,1
Invitation: Annual company retreat,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",hr@ourcompany.com,0
You have (1) unread secure message,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://192.168.1.28/verify-account Failure to act will result in account deletion. Alternative link: http://www.bankofamerica-secure.19es4ihr.org/verify,service@apple-id-verify.cn,1
WARNING: Unauthorized access attempt on your account,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://account-security.5nwqvrr9.ru/update If you did not request this change, contact support immediately. Time is running out!",support@amaz0n-billing.ru,1
Your order has been shipped,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",team@slack.com,0
WARNING: Unauthorized access attempt on your account,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://account-security.knfbjkwb.ru/update Failure to act will result in account deletion. This is your FINAL warning!,service@apple-id-verify.cn,1
Feedback requested on design mockups,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",noreply@github.com,0
Weekly standup notes - Sprint 14,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",hr@ourcompany.com,0
Feedback requested on design mockups,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",sarah.johnson@ourcompany.com,0
Exclusive offer: Act now before it expires!,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://www.paypa1.com/signin/1a78mx1e Your security is our top priority. ACT NOW! Alternative link: http://www.paypa1.com/signin/t0uzs9im",alert@bank0famerica.net,1
Final Notice: Your account will be closed,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://secure.chase-verify.h475exbx.net/login Use code SAVE90 at checkout. Hurry, stocks are limited!",alert@bank0famerica.net,1
URGENT: Your account has been compromised,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://www.bankofamerica-secure.zejbf7ny.org/verify Offer expires in 48 hours!",alert@bank0famerica.net,1
Reminder: Submit your timesheet by Friday,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",hr@ourcompany.com,0
Monthly newsletter - Company updates,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,no-reply@google.com,0
URGENT: Your account has been compromised,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://appleid.apple.com-verify.whsbp1zu.cn/auth Non-compliance will result in account restriction. Don't delay!",admin@chase-secure.info,1
WARNING: Unauthorized access attempt on your account,"Hi, I'm reaching out regarding an outstanding invoice #INV-97388. Payment of $892.50 is overdue. Please review and process payment immediately: http://www.bankofamerica-secure.2all2ekd.org/verify Late fees will apply after 48 hours. Time is running out! Alternative link: http://tinyurl.com/ui97pijb",noreply@netfl1x-update.top,1
Weekly standup notes - Sprint 14,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,newsletter@ourcompany.com,0
Q3 Project Update - Progress Report,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",newsletter@ourcompany.com,0
Conference registration confirmation,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",mike.chen@ourcompany.com,0
Your account will be suspended in 24 hours,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://portal.office365-security.g1ol73d9.co/reset This is your last chance. This is your FINAL warning! Alternative link: http://docs.google.com.26192k42.info/document,noreply@microsoft-security.tk,1
WARNING: Unauthorized access attempt on your account,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.76.10. Secure your account NOW: http://appleid.apple.com-verify.vhcupt81.cn/auth Ignoring this message may lead to data breach. Don't delay! Alternative link: http://www.bankofamerica-secure.jrv0e7xe.org/verify,service@apple-id-verify.cn,1
New blog post: Best practices for code reviews,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",team@slack.com,0
WARNING: Unauthorized access attempt on your account,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://192.168.1.98/verify-account This is an automated security measure. Act now to protect your account. ACT NOW! Alternative link: http://10.0.100.100/phish/login.php",support@amaz0n-billing.ru,1
Action Required: Verify your identity immediately,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://docs.google.com.2dpcz2o8.info/document Failure to act will result in account deletion. Don't delay! Alternative link: http://portal.office365-security.uuptj7o0.co/reset,security@0ffice365.co,1
Your monthly statement is ready,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",newsletter@ourcompany.com,0
Re: Question about the API documentation,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",sarah.johnson@ourcompany.com,0
Action Required: Verify your identity immediately,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://appleid.apple.com-verify.ii49m5zm.cn/auth Thank you for your cooperation. Alternative link: http://account-security.fh01xwmu.ru/update",support@amaz0n-billing.ru,1
WARNING: Unauthorized access attempt on your account,"You have received a secure document from DocuSign. To view and sign the document, click here: http://secure.chase-verify.nrdmhj45.net/login This document requires your immediate attention and signature. IMMEDIATE ACTION REQUIRED!",security@acc0unt-verify.com,1
Job posting: Senior Software Engineer,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",orders@amazon.com,0
Your payment failed - update billing info now,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://secure-login.account-verify.146.xyz/auth If you do not update within 12 hours, your account will be suspended.",security@0ffice365.co,1
You have (1) unread secure message,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://account-security.j1xyxasw.ru/update This is your last chance. Alternative link: http://portal.office365-security.2sk10ifj.co/reset,admin@paypa1-support.xyz,1
Your order has been shipped,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",orders@amazon.com,0
New blog post: Best practices for code reviews,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,team@slack.com,0
WARNING: Unauthorized access attempt on your account,"Hi, I'm reaching out regarding an outstanding invoice #INV-84878. Payment of $892.50 is overdue. Please review and process payment immediately: http://login.microsoftonline.5sd7cmft.tk/oauth Late fees will apply after 48 hours. ACT NOW!",noreply@microsoft-security.tk,1
URGENT: Your account has been compromised,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://192.168.1.194/verify-account If you did not request this change, contact support immediately. Alternative link: http://www.bankofamerica-secure.yzirfee6.org/verify",support@amaz0n-billing.ru,1
Tax refund notification - claim your refund now,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://10.0.188.188/phish/login.php Non-compliance will result in account restriction. Alternative link: http://www.paypa1.com/signin/3mgq4ys1",alert@bank0famerica.net,1
Tax refund notification - claim your refund now,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://tinyurl.com/htp1pfdi This is an automated security measure. Act now to protect your account. Alternative link: http://tinyurl.com/2viruc70",noreply@microsoft-security.tk,1
Invoice #INV-39481 attached - payment overdue,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://docs.google.com.9rrb4ejn.info/document Use code SAVE90 at checkout. Hurry, stocks are limited!",security@acc0unt-verify.com,1
Exclusive offer: Act now before it expires!,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.2.235. Secure your account NOW: http://192.168.1.90/verify-account Ignoring this message may lead to data breach.,helpdesk@g00gle-alert.org,1
Your account will be suspended in 24 hours,"Hi, I'm reaching out regarding an outstanding invoice #INV-80182. Payment of $892.50 is overdue. Please review and process payment immediately: http://www.bankofamerica-secure.2ruqnbmz.org/verify Late fees will apply after 48 hours. ACT NOW! Alternative link: http://bit.ly/do8h94zi",admin@paypa1-support.xyz,1
Invitation: Annual company retreat,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",noreply@github.com,0
Conference registration confirmation,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",sarah.johnson@ourcompany.com,0
Exclusive offer: Act now before it expires!,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://bit.ly/savht24b Use code SAVE90 at checkout. Hurry, stocks are limited! IMMEDIATE ACTION REQUIRED!",support@amaz0n-billing.ru,1
Q3 Project Update - Progress Report,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",newsletter@ourcompany.com,0
Monthly newsletter - Company updates,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",support@figma.com,0
Feedback requested on design mockups,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",noreply@github.com,0
Weekly standup notes - Sprint 14,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",sarah.johnson@ourcompany.com,0
Final Notice: Your account will be closed,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://www.bankofamerica-secure.fg1eyiak.org/verify This is a time-sensitive matter from the IRS. Alternative link: http://192.168.1.227/verify-account",support@amaz0n-billing.ru,1
Your account will be suspended in 24 hours,"You have received a secure document from DocuSign. To view and sign the document, click here: http://netflix-billing.50pbsr6n.top/update-payment This document requires your immediate attention and signature. IMMEDIATE ACTION REQUIRED! Alternative link: http://login.microsoftonline.21zqdr5o.tk/oauth",security@0ffice365.co,1
Important: Confirm your account details,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://www.paypa1.com/signin/1sr7uxkj This is an automated security measure. Act now to protect your account. IMMEDIATE ACTION REQUIRED!",helpdesk@g00gle-alert.org,1
Your order has been shipped,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",mike.chen@ourcompany.com,0
